Date,Orkla,Telenor,DNO,Schibsted,BW,Equinor,Aker BP,SalMar,BWO,AkerASA,LerøySeafood,DNB,TGS,Subsea7,Yara,Nel,Scatec,PFBakkafrost,Storebrand,Mowi,Gjensidige,Entra
26.04.2011,"52,90","89,50","8,00","78,20",#N/A,"150,30","32,20","68,00","685,00","156,50","16,90","90,65","134,50","138,00","290,20","76,00",#N/A,"55,25","52,40","68,60","72,55",#N/A
27.04.2011,"52,90","89,45","7,82","78,80",#N/A,"151,50","32,90","67,00","687,50","156,50","16,75","88,70","135,00","137,50","290,00","76,00",#N/A,"54,50","53,45","68,55","72,30",#N/A
28.04.2011,"52,95","90,40","7,88","79,70",#N/A,"152,40","33,40","67,00","675,00","158,00","16,70","88,85","133,20","138,40","293,00","75,00",#N/A,"55,50","53,00","69,95","68,35",#N/A
29.04.2011,"53,15","90,65","7,87","78,85",#N/A,"153,50","33,00","68,00","680,00","160,00","17,10","85,30","138,10","138,00","307,30","74,00",#N/A,"56,00","54,50","69,30","68,35",#N/A
02.05.2011,"52,80","90,80","7,90","79,95",#N/A,"152,90","32,50","67,00","662,50","157,50","16,95","86,15","134,80","136,20","307,80","72,00",#N/A,"55,00","53,95","69,35","68,25",#N/A
03.05.2011,"52,50","89,30","7,80","78,20",#N/A,"148,60","32,00","66,50","647,50","155,50","17,05","85,50","131,00","133,70","305,70","69,00",#N/A,"55,00","52,65","68,00","68,25",#N/A
04.05.2011,"51,40","90,20","7,30","77,70",#N/A,"144,10","31,80","65,75","637,50","152,00","16,65","85,35","128,60","130,90","292,10","66,00",#N/A,"53,00","50,45","66,85","68,70",#N/A
05.05.2011,"51,30","91,45","8,08","77,00",#N/A,"142,80","31,90","66,00","640,00","151,00","16,95","84,45","136,70","130,40","292,60","66,00",#N/A,"52,75","51,00","67,90","68,60",#N/A
06.05.2011,"52,30","92,60","7,89","79,55",#N/A,"144,50","31,20","65,75","645,00","154,00","16,95","80,00","142,90","135,50","301,60","69,00",#N/A,"53,50","51,60","67,00","69,15",#N/A
09.05.2011,"51,45","93,55","7,60","79,50",#N/A,"143,40","31,80","64,25","655,00","153,00","17,15","80,80","143,40","136,30","301,80","68,00",#N/A,"53,75","51,05","68,10","69,00",#N/A
10.05.2011,"51,80","93,85","7,61","79,85",#N/A,"144,10","32,10","65,75","650,00","152,50","17,15","80,00","145,20","138,70","310,00","69,00",#N/A,"53,75","50,85","59,95","69,40",#N/A
11.05.2011,"51,80","95,40","7,65","81,05",#N/A,"143,90","32,10","67,00","650,00","152,00","17,20","80,80","141,10","137,80","298,40","71,00",#N/A,"54,00","51,25","58,90","68,60",#N/A
12.05.2011,"51,60","95,10","7,60","81,05",#N/A,"142,30","31,60","64,75","625,00","149,00","17,15","80,75","141,00","135,70","290,60","70,00",#N/A,"53,00","50,30","55,85","67,50",#N/A
13.05.2011,"51,25","95,75","7,64","83,45",#N/A,"143,30","31,90","66,50","630,00","148,00","17,20","80,00","139,90","139,40","291,10","69,00",#N/A,"52,50","51,00","56,00","67,25",#N/A
16.05.2011,"51,25","96,00","7,41","85,05",#N/A,"143,30","32,00","65,50","622,50","147,50","17,30","80,05","140,60","140,10","299,50","70,00",#N/A,"53,00","50,85","57,45","68,50",#N/A
18.05.2011,"51,30","95,30","7,48","85,40",#N/A,"143,20","32,70","66,25","607,50","150,00","17,15","79,70","141,80","139,00","305,40","68,00",#N/A,"52,50","49,42","55,60","67,90",#N/A
19.05.2011,"51,20","95,90","7,37","85,20",#N/A,"144,40","32,70","65,00","635,00","150,50","17,20","81,05","142,60","138,90","312,00","71,00",#N/A,"50,50","49,30","53,60","68,30",#N/A
20.05.2011,"50,85","91,05","7,35","84,75",#N/A,"137,20","32,30","63,00","625,00","151,50","16,65","80,15","142,80","138,70","310,00","70,00",#N/A,"51,75","48,98","51,85","66,95",#N/A
23.05.2011,"50,10","90,85","7,54","83,15",#N/A,"134,20","30,50","61,00","620,00","146,00","16,65","78,50","140,30","137,80","305,70","70,00",#N/A,"49,40","47,28","52,15","66,60",#N/A
24.05.2011,"49,40","90,15","7,18","83,80",#N/A,"135,80","31,00","64,00","637,50","147,00","16,70","79,75","142,40","138,30","313,10","66,00",#N/A,"50,00","47,05","53,50","67,50",#N/A
25.05.2011,"49,27","90,75","7,02","83,10",#N/A,"136,20","30,60","62,50","652,50","149,00","16,90","80,80","143,00","138,80","316,70","69,00",#N/A,"55,00","48,11","52,55","67,50",#N/A
26.05.2011,"49,00","89,50","7,15","82,25",#N/A,"136,40","31,00","64,00","637,50","150,50","16,00","80,35","145,50","138,00","312,60","69,00",#N/A,"54,00","48,02","52,45","67,40",#N/A
27.05.2011,"49,50","89,90","7,30","84,80",#N/A,"139,10","30,70","63,25","652,50","151,50","16,05","80,40","149,00","139,80","319,60","67,00",#N/A,"53,75","48,67","53,15","68,50",#N/A
